tconst	averageRating	numVotes
tt0000001	5.8	1403
tt0000002	6.5	163
tt0000003	6.6	992
tt0000004	6.4	98
tt0000005	6.2	1692
tt0000006	5.6	88
tt0000007	5.5	567
tt0000008	5.6	1511
tt0000009	5.6	67
tt0000010	6.9	5033
tt0000011	5.4	207
tt0000012	7.4	8408
tt0000013	5.7	1286
tt0000014	7.2	3656
tt0000015	6.2	634
tt0000016	5.9	953
tt0000017	4.8	193
tt0000018	5.5	406
tt0000019	6.6	13
tt0000020	5.0	228
tt0000022	5.2	723
tt0000023	5.7	906
tt0000024	5.8	20
tt0000025	4.8	19
tt0000026	5.7	1115
tt0000027	5.6	752
tt0000028	5.2	686
tt0000029	5.9	2401
tt0000030	5.3	580
tt0000031	5.6	669
tt0000032	5.2	284
tt0000033	5.6	714
tt0000034	5.7	98
tt0000035	5.8	45
tt0000036	4.5	407
tt0000037	4.7	33
tt0000038	4.3	125
tt0000039	4.6	11
tt0000040	4.3	29
tt0000041	6.7	1169
tt0000042	4.8	16
tt0000043	4.5	8
tt0000044	4.8	21
tt0000045	4.8	13
tt0000046	4.7	15
tt0000047	3.9	11
tt0000048	5.4	92
tt0000049	6.1	18
tt0000050	4.6	11
tt0000051	4.3	9
tt0000052	4.6	35
tt0000053	2.8	5
tt0000054	5.8	15
tt0000055	4.4	12
tt0000056	4.0	8
tt0000057	5.0	11
tt0000058	4.5	11
tt0000059	4.1	8
tt0000060	8.1	57
tt0000061	4.5	11
tt0000062	6.5	134
tt0000063	4.1	7
tt0000064	4.1	9
tt0000065	4.1	8
tt0000066	4.2	8
tt0000067	6.2	33
tt0000068	4.5	8
tt0000069	4.8	271
tt0000070	6.4	1873
tt0000071	4.0	11
tt0000072	4.7	9
tt0000073	4.5	8
tt0000074	4.6	12
tt0000075	6.4	1185
tt0000076	4.5	367
tt0000077	5.2	13
tt0000078	4.4	36
tt0000079	4.6	13
tt0000080	4.6	11
tt0000081	4.6	11
tt0000082	5.4	19
tt0000083	5.3	14
tt0000084	4.9	11
tt0000085	5.3	14
tt0000086	4.5	11
tt0000087	5.3	15
tt0000088	5.3	12
tt0000089	6.3	672
tt0000090	4.5	11
tt0000091	6.7	2128
tt0000092	5.4	9
tt0000093	5.2	56
tt0000094	4.7	10
tt0000095	5.3	16
tt0000096	5.3	9
tt0000097	5.4	14
tt0000098	6.1	15
tt0000099	5.3	11
tt0000100	5.3	24
tt0000101	5.2	9
tt0000102	5.5	10
tt0000103	6.6	11
tt0000104	5.6	329
tt0000105	6.2	11
tt0000106	5.4	7
tt0000107	6.6	9
tt0000108	4.4	376
tt0000109	4.6	371
tt0000110	4.5	375
tt0000111	4.6	383
tt0000112	4.6	369
tt0000113	4.4	387
tt0000114	6.2	12
tt0000115	6.4	10
tt0000116	6.4	10
tt0000117	5.5	89
tt0000118	6.4	11
tt0000119	6.6	15
tt0000120	6.2	19
tt0000121	4.7	32
tt0000122	6.4	10
tt0000123	5.9	50
tt0000124	6.5	10
tt0000126	6.6	11
tt0000127	5.1	9
tt0000128	6.3	19
tt0000129	7.3	28
tt0000130	6.3	9
tt0000131	5.8	807
tt0000132	5.1	693
tt0000133	7.4	17
tt0000134	6.2	5
tt0000135	7.2	47
tt0000136	6.2	238
tt0000138	6.5	603
tt0000139	6.0	10
tt0000140	5.2	181
tt0000141	5.4	44
tt0000142	5.5	8
tt0000143	5.0	156
tt0000144	5.2	173
tt0000146	6.0	9
tt0000147	5.2	264
tt0000149	6.0	6
tt0000150	5.6	78
tt0000151	5.3	23
tt0000152	6.3	109
tt0000153	5.6	225
tt0000154	4.4	5
tt0000155	5.0	7
tt0000156	4.9	7
tt0000159	5.6	37
tt0000160	5.8	8
tt0000162	5.5	340
tt0000164	5.2	182
tt0000165	5.2	64
tt0000167	4.6	77
tt0000169	4.9	8
tt0000170	5.4	140
tt0000172	6.0	414
tt0000173	5.4	13
tt0000174	5.0	85
tt0000175	5.1	116
tt0000177	4.7	159
tt0000178	6.0	34
tt0000179	5.2	10
tt0000181	7.4	29
tt0000182	5.0	385
tt0000183	6.6	11
tt0000184	4.9	218
tt0000186	4.7	9
tt0000187	5.8	22
tt0000190	5.4	98
tt0000192	4.6	114
tt0000194	5.5	62
tt0000196	5.5	10
tt0000205	6.2	13
tt0000208	5.8	393
tt0000209	6.4	7
tt0000210	5.9	10
tt0000211	7.5	2590
tt0000213	4.6	145
tt0000214	4.8	44
tt0000215	4.5	81
tt0000218	5.9	394
tt0000219	7.3	22
tt0000222	4.6	143
